label,checkpoint_epoch,checkpoint_val_mean_auc,best_val_mean_auc_from_history,mean_auroc,mean_epoch_time_sec,total_run_time_sec,peak_gpu_memory_allocated_mb,avg_gpu_memory_allocated_mb,avg_gpu_utilization_percent
ResNet18 no pretrain + weighted BCE,18,0.8088976307159347,0.8088976307159347,0.7673118464862911,28.958205194877728,828.3046092027798,2677.11572265625,208.74536520337304,49.08531746031747
ResNet18 no pretrain + focal,19,0.8071123856108847,0.8071123856108847,0.7645773102395459,31.041503127857016,917.521179838106,2677.11572265625,208.74489269037358,46.44252873563218
DenseNet121 no pretrain + weighted BCE,18,0.8130867909862439,0.8130867909862439,0.7720267314894548,91.11934750919629,2571.1002065781504,6249.501953125,141.14007471478175,48.48214285714287
DenseNet121 pretrained + weighted BCE,7,0.8348636821725152,0.8348636821725152,0.8085945610793946,92.2640791117378,1583.7478481996804,6249.501953125,141.13870059742646,50.075163398692816
DenseNet121 pretrained + focal,5,0.8307824265233518,0.8307824265233518,0.8022859692751878,90.4481682891647,1370.7441421020776,6249.501953125,141.13823423032403,52.2
