key,label,short_label,run_name,metrics_path,history_path,per_class_path,mean_auroc,mean_pr_auc,macro_f1,micro_f1,macro_precision,macro_recall,loss,checkpoint_epoch,checkpoint_val_mean_auc,total_run_time_sec,test_time_sec,final_gpu_peak_memory_allocated_mb,final_gpu_peak_memory_reserved_mb,best_val_mean_auc_from_history,mean_epoch_time_sec,peak_gpu_memory_allocated_mb,avg_gpu_memory_allocated_mb,avg_gpu_utilization_percent
resnet18_bce,ResNet18 no pretrain + weighted BCE,RN18 no-pretr + BCE,resnet18_bce,artifacts/metrics/resnet18_bce_test_metrics.json,artifacts/metrics/resnet18_bce_history.csv,artifacts/metrics/resnet18_bce_test_per_class_metrics.csv,0.7673118464862911,0.21126794442534447,0.247423312375169,0.3008308418095224,0.16844594883404618,0.601854174382415,1.0925681502296682,18,0.8088976307159347,828.3046092027798,6.926010271534324,1291.0263671875,2312.0,0.8088976307159347,28.958205194877728,2677.11572265625,208.74536520337304,49.08531746031747
resnet18_focal,ResNet18 no pretrain + focal,RN18 no-pretr + focal,resnet18_focal,artifacts/metrics/resnet18_focal_test_metrics.json,artifacts/metrics/resnet18_focal_history.csv,artifacts/metrics/resnet18_focal_test_per_class_metrics.csv,0.7645773102395459,0.21038406661578588,0.2507258442122965,0.3357253074860302,0.2411375217480399,0.3256948025728212,0.11637775041162968,19,0.8071123856108847,917.521179838106,6.859450578689575,1291.0263671875,2312.0,0.8071123856108847,31.041503127857016,2677.11572265625,208.74489269037358,46.44252873563218
densenet121_no_pretrain_bce,DenseNet121 no pretrain + weighted BCE,DN121 no-pretr + BCE,densenet121_no_pretrain_bce,artifacts/metrics/densenet121_no_pretrain_bce_test_metrics.json,artifacts/metrics/densenet121_no_pretrain_bce_history.csv,artifacts/metrics/densenet121_no_pretrain_bce_test_per_class_metrics.csv,0.7720267314894548,0.20949669554829597,0.25270253973364876,0.3063251111820738,0.17827329195783492,0.5913906880404826,1.0770996371458532,18,0.8130867909862439,2571.1002065781504,8.999468673951924,6209.9765625,7482.0,0.8130867909862439,91.11934750919629,6249.501953125,141.14007471478175,48.48214285714287
densenet121_pretrained_bce,DenseNet121 pretrained + weighted BCE,DN121 pretr + BCE,densenet121_pretrained_bce,artifacts/metrics/densenet121_pretrained_bce_test_metrics.json,artifacts/metrics/densenet121_pretrained_bce_history.csv,artifacts/metrics/densenet121_pretrained_bce_test_per_class_metrics.csv,0.8085945610793946,0.2776516686592783,0.3019394987997276,0.32782422112330517,0.20492554956958037,0.6721036808424375,0.9897437607974149,7,0.8348636821725152,1583.7478481996804,8.636770820245147,6209.9765625,7482.0,0.8348636821725152,92.2640791117378,6249.501953125,141.13870059742646,50.075163398692816
densenet121_pretrained_focal,DenseNet121 pretrained + focal,DN121 pretr + focal,densenet121_pretrained_focal,artifacts/metrics/densenet121_pretrained_focal_test_metrics.json,artifacts/metrics/densenet121_pretrained_focal_history.csv,artifacts/metrics/densenet121_pretrained_focal_test_per_class_metrics.csv,0.8022859692751878,0.26219504858766285,0.3059335407305877,0.3703402907496142,0.3018903012326879,0.3511037785849899,0.10770238058341576,5,0.8307824265233518,1370.7441421020776,8.419249199330807,6209.9765625,7482.0,0.8307824265233518,90.4481682891647,6249.501953125,141.13823423032403,52.2
