label,mean_auroc,mean_pr_auc,macro_f1,micro_f1,macro_precision,macro_recall,checkpoint_epoch,checkpoint_val_mean_auc,metrics_path
ResNet18 no pretrain + weighted BCE,0.7673118464862911,0.21126794442534447,0.247423312375169,0.3008308418095224,0.16844594883404618,0.601854174382415,18,0.8088976307159347,artifacts/metrics/resnet18_bce_test_metrics.json
ResNet18 no pretrain + focal,0.7645773102395459,0.21038406661578588,0.2507258442122965,0.3357253074860302,0.2411375217480399,0.3256948025728212,19,0.8071123856108847,artifacts/metrics/resnet18_focal_test_metrics.json
DenseNet121 no pretrain + weighted BCE,0.7720267314894548,0.20949669554829597,0.25270253973364876,0.3063251111820738,0.17827329195783492,0.5913906880404826,18,0.8130867909862439,artifacts/metrics/densenet121_no_pretrain_bce_test_metrics.json
DenseNet121 pretrained + weighted BCE,0.8085945610793946,0.2776516686592783,0.3019394987997276,0.32782422112330517,0.20492554956958037,0.6721036808424375,7,0.8348636821725152,artifacts/metrics/densenet121_pretrained_bce_test_metrics.json
DenseNet121 pretrained + focal,0.8022859692751878,0.26219504858766285,0.3059335407305877,0.3703402907496142,0.3018903012326879,0.3511037785849899,5,0.8307824265233518,artifacts/metrics/densenet121_pretrained_focal_test_metrics.json
