epoch,train_loss,val_loss,val_mean_auc,val_mean_average_precision,val_macro_f1,val_micro_f1,val_macro_precision,val_macro_recall,train_time_sec,val_time_sec,epoch_time_sec,gpu_avg_memory_allocated_mb,gpu_avg_memory_reserved_mb,gpu_avg_utilization_percent,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_peak_memory_allocated_mb,gpu_peak_memory_reserved_mb
1.0,0.9273852451340805,0.8860732493705528,0.6477838510547993,0.08207911445892282,0.11162746090292588,0.1957896724251864,0.07710893284664552,0.24548638157281752,89.90720539074391,3.0756106823682785,92.98282365594059,141.08273654513889,6178.777777777777,56.5,122.9716796875,182.0,6249.501953125,6908.0
2.0,0.8631683922893706,0.8563099506982538,0.7073809331945331,0.09854632636000003,0.13467007701560904,0.22115669797330698,0.09573727050419614,0.2787176005917065,85.84099644888192,2.826148172840476,88.6671479055658,141.14219835069446,6908.333333333333,53.72222222222222,123.2685546875,6914.0,6209.9765625,6914.0
3.0,0.8360682581819256,0.8420504484065744,0.7281860936592962,0.1147048873161631,0.1367892650627656,0.19787081265024506,0.08628850213860409,0.445032796251347,86.93777476996183,2.788639836013317,89.72641575802118,141.14219835069446,6914.0,52.0,123.2685546875,6914.0,6209.9765625,6914.0
4.0,0.8122383773399829,0.8096119900082432,0.7607927971335225,0.13052524493208953,0.1510507884768435,0.2123103199106615,0.09551665332678275,0.4576665971841366,87.61051378119737,2.9501379523426294,90.5606553638354,141.14219835069446,6914.0,53.666666666666664,123.2685546875,6914.0,6209.9765625,6914.0
5.0,0.791863598978213,0.7884659184965976,0.7704546279618053,0.141092240344733,0.1611800405906833,0.20984364465277555,0.10338332808875661,0.5151367373364973,87.31994025222957,2.779777744784951,90.09972043149173,141.14219835069446,6914.0,43.94444444444444,123.2685546875,6914.0,6209.9765625,6914.0
6.0,0.7770708035518081,0.7727088962876519,0.7802525899820129,0.14618834360901797,0.17452539768665568,0.25030989527676856,0.11479973221298886,0.43213459941536125,86.54147294349968,2.7511108284816146,89.29260078538209,141.14219835069446,6914.0,47.388888888888886,123.2685546875,6914.0,6209.9765625,6914.0
7.0,0.7660496427496323,0.7705968684235285,0.7802455574334847,0.15272178008620227,0.17610214662494997,0.24432624113475176,0.11219904199821784,0.47941035867251786,87.62446672376245,2.936365948058665,90.56084012053907,141.14219835069446,6914.0,42.77777777777778,123.2685546875,6914.0,6209.9765625,6914.0
8.0,0.7566187720257912,0.7720835018296575,0.7861888504771534,0.15120326800804054,0.18674329350944796,0.25943415938819003,0.12425607077277903,0.44743913878967617,87.31830230075866,2.8269601985812187,90.1452645920217,141.14219835069446,6914.0,59.611111111111114,123.2685546875,6914.0,6209.9765625,6914.0
9.0,0.7468226000465991,0.7510119933028554,0.7941316026081962,0.15816633330125893,0.17181988699859801,0.23740316720367452,0.11423387809764872,0.5247882982416329,87.22227453161031,2.8062560614198446,90.02853255812079,141.14219835069446,6914.0,53.05555555555556,123.2685546875,6914.0,6209.9765625,6914.0
10.0,0.7380026278326531,0.7452908612267916,0.8006098329265342,0.16859643746699607,0.1884569287269324,0.25655576403825914,0.12987789598692226,0.4422554419919127,86.72271977737546,2.814307689666748,89.53703145775944,141.14219835069446,6914.0,49.22222222222222,123.2685546875,6914.0,6209.9765625,6914.0
