epoch,train_loss,val_loss,val_mean_auc,val_mean_average_precision,val_macro_f1,val_micro_f1,val_macro_precision,val_macro_recall,train_time_sec,val_time_sec,epoch_time_sec,gpu_avg_memory_allocated_mb,gpu_avg_memory_reserved_mb,gpu_avg_utilization_percent,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_peak_memory_allocated_mb,gpu_peak_memory_reserved_mb
1.0,0.10084683162637849,0.0901737759366285,0.6671407887319739,0.07991074594402951,0.03600904936920207,0.09396175274808011,0.06086250135742638,0.03389634582519837,33.54955230746418,2.4986976832151413,36.04825327079743,208.7646484375,1733.7777777777778,44.111111111111114,190.80419921875,256.0,2677.11572265625,2710.0
2.0,0.09057236810282074,0.08792577372040859,0.713163777776767,0.10000208778572935,0.026259502001760464,0.05969628207366032,0.10958217654176894,0.015716734444505002,26.015298414044082,2.4479564614593983,28.46325915120542,208.75423177083334,1796.3333333333333,50.05555555555556,190.30419921875,1802.0,1292.0888671875,1802.0
3.0,0.0868780014026486,0.08491065162558888,0.7387765090957096,0.11799015430733562,0.08311180075351468,0.15298303229337712,0.1445259766500513,0.07264382827400352,28.11078738886863,2.692741358652711,30.80353752337396,208.74381510416666,1802.0,51.5,190.30419921875,1802.0,1291.0263671875,1802.0
4.0,0.08363251041990306,0.08287252191194268,0.7588763371228058,0.13643793189632042,0.1210028328515205,0.23900594273365747,0.15749919173005253,0.13824183547511495,29.697630452923477,2.4342054687440395,32.13183840736747,208.74381510416666,1802.0,46.77777777777778,190.30419921875,1802.0,1291.0263671875,1802.0
5.0,0.0817938844195705,0.08174222989311052,0.7691614638926966,0.14526145359767334,0.12690886749047886,0.24212505876821813,0.17519435405227327,0.13042892489251395,28.96711393725127,2.8031196957454085,31.77024056389928,208.74381510416666,1802.0,42.94444444444444,190.30419921875,1802.0,1291.0263671875,1802.0
6.0,0.0805158327530837,0.079668291043057,0.7780840356555776,0.15166087914258242,0.1573691245147356,0.27010710808179167,0.16222692312891956,0.18206396362498548,27.166350509040058,2.4328894363716245,29.599245062097907,208.74381510416666,1802.0,51.666666666666664,190.30419921875,1802.0,1291.0263671875,1802.0
7.0,0.07945763909758377,0.08031448440323043,0.7795935145459246,0.15251828410795756,0.14587276865480422,0.24435647801433613,0.18113243590347164,0.14736230753108717,30.492349859327078,2.46882345713675,32.96117452532053,208.74381510416666,1802.0,47.72222222222222,190.30419921875,1802.0,1291.0263671875,1802.0
8.0,0.07876087053059948,0.07946268438773099,0.7911260046457652,0.1535091848511781,0.15246233122088634,0.24925356629437137,0.1832924566647196,0.16330719890012,28.695200166665018,2.4471406545490026,31.14234407711774,208.74381510416666,1802.0,51.94444444444444,190.30419921875,1802.0,1291.0263671875,1802.0
9.0,0.07780679652747793,0.07759193664546622,0.7980484604677257,0.15905580490029284,0.1734483440693419,0.2663260091977516,0.2103528193302413,0.1945393429661075,28.657986156642437,2.4723945390433073,31.13038871064782,208.74381510416666,1802.0,53.72222222222222,190.30419921875,1802.0,1291.0263671875,1802.0
10.0,0.07674352491828482,0.07838734724493913,0.795564185842404,0.16327277637485946,0.16551979898429864,0.24757166548211326,0.20117004551347403,0.15795504317831305,28.25524243246764,2.4465716537088156,30.7018172275275,208.74381510416666,1802.0,44.666666666666664,190.30419921875,1802.0,1291.0263671875,1802.0
11.0,0.0760702738399313,0.07795180713887824,0.7996735885850452,0.1663823493623308,0.17970913072143463,0.2831155253528489,0.19858760444127752,0.19178610521060604,29.163432382047176,2.7619857098907232,31.92542070057243,208.74381510416666,1802.0,47.77777777777778,190.30419921875,1802.0,1291.0263671875,1802.0
12.0,0.07513137133461463,0.07855782384962537,0.7892575390438222,0.16120949839907034,0.176835037156113,0.2749007661774209,0.1852381044343531,0.2204069526184406,29.407215035520494,2.786345761269331,32.19356328248978,208.74381510416666,1802.0,46.27777777777778,190.30419921875,1802.0,1291.0263671875,1802.0
13.0,0.07428838698834071,0.07812567037898441,0.8028177999412003,0.17566748974578722,0.19308739226420377,0.28146171217409155,0.23898045930572437,0.21591579233212996,27.859358087182045,2.4682109197601676,30.327570834197104,208.74381510416666,1802.0,53.22222222222222,190.30419921875,1802.0,1291.0263671875,1802.0
14.0,0.07357285060490068,0.07877080094848954,0.8007371004916389,0.16504717764577695,0.17813455647397997,0.25825140449438205,0.18715207380532986,0.21647246591382766,29.355018225498497,2.3513158923015,31.706339557655156,208.74381510416666,1802.0,47.111111111111114,190.30419921875,1802.0,1291.0263671875,1802.0
