epoch,train_loss,val_loss,val_mean_auc,val_mean_average_precision,val_macro_f1,val_micro_f1,val_macro_precision,val_macro_recall,train_time_sec,val_time_sec,epoch_time_sec,gpu_avg_memory_allocated_mb,gpu_avg_memory_reserved_mb,gpu_avg_utilization_percent,gpu_memory_allocated_mb,gpu_memory_reserved_mb,gpu_peak_memory_allocated_mb,gpu_peak_memory_reserved_mb
1.0,0.09866871910039769,0.0805750955329385,0.7722049419440528,0.14008402009494603,0.1476909316801105,0.24909747292418774,0.16974246648242658,0.15257980789584505,95.70800264179707,3.2738662902265787,98.98187748063356,141.08273654513889,6178.555555555556,45.666666666666664,122.9716796875,182.0,6249.501953125,6908.0
2.0,0.08028403949106484,0.07783731008165104,0.8031712257869765,0.1781328743589776,0.18992418229589206,0.29284452296819785,0.2206140447271465,0.1808299927033146,88.38743676338345,2.822994263842702,91.21043439116329,141.14219835069446,6908.333333333333,47.94444444444444,123.2685546875,6914.0,6209.9765625,6914.0
3.0,0.0756374885814864,0.0740034616184096,0.8228598551639904,0.20529679262212344,0.23027031615813295,0.3191602917630315,0.21493103469940195,0.2964992154858967,86.3182411743328,2.8640136336907744,89.1822563521564,141.14219835069446,6914.0,47.111111111111114,123.2685546875,6914.0,6209.9765625,6914.0
4.0,0.07283583590749428,0.07268005895406701,0.8287357569999071,0.2286339629707592,0.259788505997075,0.328231138483833,0.28677033512007777,0.2971034405159112,87.31975766643882,2.9848472233861685,90.30460729822516,141.14219835069446,6914.0,62.0,123.2685546875,6914.0,6209.9765625,6914.0
5.0,0.07065264490801235,0.07359089992593887,0.8307824265233518,0.2336719726611461,0.2626563645912184,0.3173813169984686,0.25943149340318544,0.30817187411885166,88.67470735684037,3.030884427949786,91.70559772662818,141.14219835069446,6914.0,55.611111111111114,123.2685546875,6914.0,6209.9765625,6914.0
6.0,0.068755254764999,0.0727267999981725,0.8301901239225252,0.24748385870563133,0.2709424493318014,0.3387112738790458,0.2670700634247824,0.32146798495661866,88.10307759139687,2.829563640989363,90.932642782107,141.14219835069446,6914.0,58.888888888888886,123.2685546875,6914.0,6209.9765625,6914.0
7.0,0.06720219689308503,0.07264976155792557,0.8302965994906808,0.2547087085300258,0.28475791029655634,0.34140795802361174,0.2681335052868994,0.35675738411290364,85.9187477035448,2.809455723501742,88.72821119613945,141.14219835069446,6914.0,47.333333333333336,123.2685546875,6914.0,6209.9765625,6914.0
8.0,0.06533242884745212,0.07569012201802675,0.828671636600378,0.2453781251928636,0.27766186625814904,0.3285632512879222,0.2806756006412841,0.30399158560110623,87.11260843463242,2.9447960685938597,90.057412289083,141.14219835069446,6914.0,48.833333333333336,123.2685546875,6914.0,6209.9765625,6914.0
9.0,0.06315343965168682,0.07632514570168285,0.8291872754184161,0.2496327203033226,0.2848572350265059,0.34907010014306156,0.26697594208138237,0.3418396917075726,88.12108459509909,2.9931716369464993,91.1142594628036,141.14219835069446,6914.0,55.22222222222222,123.2685546875,6914.0,6209.9765625,6914.0
10.0,0.06083256922288361,0.07757547878941824,0.8228151843457762,0.24482791085860559,0.2640896703545758,0.3292682926829268,0.25686298902102317,0.341481684763976,87.32039611972868,2.935734420083463,90.25613736920059,141.14219835069446,6914.0,54.666666666666664,123.2685546875,6914.0,6209.9765625,6914.0
11.0,0.05879837978571981,0.07788100851656393,0.8272633062416986,0.24473372913364852,0.2787266559272834,0.32721317127833804,0.260827236949626,0.3412292394260147,85.88602724764496,2.843815996311605,88.72985044494271,141.14219835069446,6914.0,48.166666666666664,123.2685546875,6914.0,6209.9765625,6914.0
12.0,0.05618979208709415,0.081329703244359,0.8291010041467618,0.24031134388808692,0.2820769041275168,0.32499577488592196,0.2549056981094427,0.34306058720460203,86.46908344328403,2.877931729890406,89.34701925702393,141.14219835069446,6914.0,51.22222222222222,123.2685546875,6914.0,6209.9765625,6914.0
13.0,0.05323281632952912,0.08595993924279545,0.8202194351887117,0.23678117977189167,0.26865540600627835,0.3263411279229711,0.25181187701646224,0.3306987802274654,86.1388896573335,2.92550188023597,89.0643967622891,141.14219835069446,6914.0,55.5,123.2685546875,6914.0,6209.9765625,6914.0
14.0,0.05055338142934453,0.0874733560133812,0.8218595693069198,0.24227588078273193,0.28686289808729654,0.3298811544991511,0.2549223627157994,0.35969806141404925,86.16026511974633,2.813560417853296,88.97382669430226,141.14219835069446,6914.0,49.388888888888886,123.2685546875,6914.0,6209.9765625,6914.0
15.0,0.047754670079510245,0.09259694156258605,0.8192742954528168,0.24026463074343546,0.2758477624907608,0.32203975799481416,0.25863785728117256,0.3355689759836228,85.08332491014153,3.0506677217781544,88.13399483077228,141.14219835069446,6914.0,55.44444444444444,123.2685546875,6914.0,6209.9765625,6914.0
